feature_a,feature_b,abs_pearson_r
has_vocals,vocal_harmonic_ratio,0.9944904066609367
pitch_std_cents,vibrato_extent_cents,0.9832419763556906
vocal_texture_score,vocal_harmonic_ratio,0.9750612627827483
has_vocals,vocal_texture_score,0.9743889642107769
spectral_centroid_mean,spectral_rolloff_mean,0.968918632678965
spectral_bandwidth_mean,spectral_rolloff_mean,0.9464493512260895
mfcc_delta_var,mfcc_delta2_var,0.9237528630669741
rms_std,rms_dynamic_range,0.9194914871273401
spectral_centroid_std,spectral_regularity,0.9130676958774534
has_vocals,vibrato_rate_hz,0.9012725644630107
spectral_bandwidth_std,spectral_rolloff_std,0.8960498658690896
vibrato_rate_hz,vocal_harmonic_ratio,0.8939367027943128
spectral_centroid_std,spectral_rolloff_std,0.8902869603533811
harmonic_ratio,harmonic_structure,0.8844576273140624
spectral_centroid_mean,zero_crossing_rate,0.8833328253782464
vocal_texture_score,vibrato_rate_hz,0.875902808196026
mfcc_delta2_var,onset_strength_mean,0.8746713609208414
spectral_bandwidth_mean,spectral_contrast_std,0.8738965402747573
spectral_centroid_mean,spectral_bandwidth_mean,0.8713643567404582
mfcc_delta2_var,onset_strength_std,0.8680992743440229
