model,roc_auc,pr_auc,accuracy,f1,balanced_accuracy,mcc,threshold
LightGBM,0.9549,0.9344,0.8824,0.8591,0.8844,0.7602,0.4316
Deep MLP (512-256-128-64),0.9524,0.9297,0.8845,0.861,0.8858,0.7638,0.4757
XGBoost,0.9463,0.9199,0.873,0.8462,0.8728,0.739,0.4295
Residual MLP (3 blocks),0.9461,0.9206,0.8768,0.8535,0.8799,0.7501,0.3293
Gradient Boosting,0.9406,0.9098,0.8641,0.8391,0.8674,0.7248,0.3931
Random Forest,0.9393,0.917,0.8562,0.8309,0.8604,0.71,0.42
SVM (RBF),0.9347,0.9036,0.8608,0.8344,0.8632,0.7171,0.3832
Attention MLP,0.9342,0.9015,0.8549,0.8307,0.8604,0.7092,0.4622
MLP Neural Network,0.9258,0.8881,0.8541,0.8289,0.8587,0.7064,0.257
Logistic Regression,0.8511,0.7555,0.7761,0.7415,0.7803,0.5507,0.4827
1D-CNN,0.8442,0.7627,0.7721,0.7286,0.7706,0.5345,0.4325
