rank,feature,importance
1,spectral_flatness_std,0.061889
2,spectral_contrast_mean,0.046667
3,rms_energy,0.045556
4,onset_strength_std,0.038778
5,spectral_flatness_mean,0.037
6,rms_dynamic_range,0.034556
7,onset_strength_mean,0.033222
8,rms_std,0.029778
9,beat_count,0.029778
10,mfcc_delta_var,0.028889
11,chroma_std,0.028111
12,mfcc_variance,0.027889
13,tonnetz_std,0.027333
14,chroma_entropy,0.022333
15,tempo_cv,0.022222
16,zero_crossing_rate,0.021333
17,spectral_bandwidth_std,0.020444
18,breath_pattern_score,0.020444
19,mel_flatness,0.020333
20,spectral_centroid_mean,0.019222
