model,type,mean_auc,std_auc,fold_aucs
LightGBM,ML,0.9548,0.0023,0.9534;0.9568;0.9515;0.9543;0.9580
Deep MLP (512-256-128-64),DL,0.9542,0.0036,0.9582;0.9557;0.9508;0.9492;0.9571
Residual MLP (3 blocks),DL,0.9485,0.0044,0.9523;0.9491;0.9473;0.9407;0.9531
XGBoost,ML,0.9465,0.0029,0.9468;0.9513;0.9458;0.9423;0.9464
Gradient Boosting,ML,0.9397,0.0038,0.9375;0.9465;0.9365;0.9366;0.9414
Random Forest,ML,0.9394,0.0066,0.9435;0.9470;0.9380;0.9277;0.9408
Attention MLP,DL,0.9359,0.0056,0.9318;0.9461;0.9379;0.9320;0.9316
SVM (RBF),ML,0.9346,0.0075,0.9388;0.9354;0.9382;0.9200;0.9407
MLP Neural Network,ML,0.9276,0.0060,0.9203;0.9339;0.9351;0.9220;0.9268
1D-CNN,DL,0.8543,0.0087,0.8583;0.8645;0.8589;0.8394;0.8502
Logistic Regression,ML,0.8515,0.0068,0.8477;0.8629;0.8557;0.8474;0.8440
